category,skill_name,slug,skill_page_url,skill_md_url
Product Management,Writing North Star Metrics,writing-north-star-metrics,https://refoundai.com/lenny-skills/s/writing-north-star-metrics,https://refoundai.com/skills/writing-north-star-metrics/SKILL.md
Product Management,Defining Product Vision,defining-product-vision,https://refoundai.com/lenny-skills/s/defining-product-vision,https://refoundai.com/skills/defining-product-vision/SKILL.md
Product Management,Prioritizing Roadmap,prioritizing-roadmap,https://refoundai.com/lenny-skills/s/prioritizing-roadmap,https://refoundai.com/skills/prioritizing-roadmap/SKILL.md
Product Management,Setting OKRs & Goals,setting-okrs-goals,https://refoundai.com/lenny-skills/s/setting-okrs-goals,https://refoundai.com/skills/setting-okrs-goals/SKILL.md
Product Management,Competitive Analysis,competitive-analysis,https://refoundai.com/lenny-skills/s/competitive-analysis,https://refoundai.com/skills/competitive-analysis/SKILL.md
Product Management,Writing PRDs,writing-prds,https://refoundai.com/lenny-skills/s/writing-prds,https://refoundai.com/skills/writing-prds/SKILL.md
Product Management,Problem Definition,problem-definition,https://refoundai.com/lenny-skills/s/problem-definition,https://refoundai.com/skills/problem-definition/SKILL.md
Product Management,Writing Specs & Designs,writing-specs-designs,https://refoundai.com/lenny-skills/s/writing-specs-designs,https://refoundai.com/skills/writing-specs-designs/SKILL.md
Product Management,Scoping & Cutting,scoping-cutting,https://refoundai.com/lenny-skills/s/scoping-cutting,https://refoundai.com/skills/scoping-cutting/SKILL.md
Product Management,Working Backwards,working-backwards,https://refoundai.com/lenny-skills/s/working-backwards,https://refoundai.com/skills/working-backwards/SKILL.md
Product Management,Conducting User Interviews,conducting-user-interviews,https://refoundai.com/lenny-skills/s/conducting-user-interviews,https://refoundai.com/skills/conducting-user-interviews/SKILL.md
Product Management,Designing Surveys,designing-surveys,https://refoundai.com/lenny-skills/s/designing-surveys,https://refoundai.com/skills/designing-surveys/SKILL.md
Product Management,Analyzing User Feedback,analyzing-user-feedback,https://refoundai.com/lenny-skills/s/analyzing-user-feedback,https://refoundai.com/skills/analyzing-user-feedback/SKILL.md
Product Management,Usability Testing,usability-testing,https://refoundai.com/lenny-skills/s/usability-testing,https://refoundai.com/skills/usability-testing/SKILL.md
Product Management,Shipping Products,shipping-products,https://refoundai.com/lenny-skills/s/shipping-products,https://refoundai.com/skills/shipping-products/SKILL.md
Product Management,Managing Timelines,managing-timelines,https://refoundai.com/lenny-skills/s/managing-timelines,https://refoundai.com/skills/managing-timelines/SKILL.md
Product Management,Developing Product Taste,product-taste-intuition,https://refoundai.com/lenny-skills/s/product-taste-intuition,https://refoundai.com/skills/product-taste-intuition/SKILL.md
Product Management,Product Operations,product-operations,https://refoundai.com/lenny-skills/s/product-operations,https://refoundai.com/skills/product-operations/SKILL.md
Product Management,Behavioral Product Design,behavioral-product-design,https://refoundai.com/lenny-skills/s/behavioral-product-design,https://refoundai.com/skills/behavioral-product-design/SKILL.md
Product Management,Startup Ideation,startup-ideation,https://refoundai.com/lenny-skills/s/startup-ideation,https://refoundai.com/skills/startup-ideation/SKILL.md
Product Management,Dogfooding,dogfooding,https://refoundai.com/lenny-skills/s/dogfooding,https://refoundai.com/skills/dogfooding/SKILL.md
Product Management,Startup Pivoting,startup-pivoting,https://refoundai.com/lenny-skills/s/startup-pivoting,https://refoundai.com/skills/startup-pivoting/SKILL.md
Hiring & Teams,Writing Job Descriptions,writing-job-descriptions,https://refoundai.com/lenny-skills/s/writing-job-descriptions,https://refoundai.com/skills/writing-job-descriptions/SKILL.md
Hiring & Teams,Conducting Interviews,conducting-interviews,https://refoundai.com/lenny-skills/s/conducting-interviews,https://refoundai.com/skills/conducting-interviews/SKILL.md
Hiring & Teams,Evaluating Candidates,evaluating-candidates,https://refoundai.com/lenny-skills/s/evaluating-candidates,https://refoundai.com/skills/evaluating-candidates/SKILL.md
Hiring & Teams,Onboarding New Hires,onboarding-new-hires,https://refoundai.com/lenny-skills/s/onboarding-new-hires,https://refoundai.com/skills/onboarding-new-hires/SKILL.md
Hiring & Teams,Building Team Culture,building-team-culture,https://refoundai.com/lenny-skills/s/building-team-culture,https://refoundai.com/skills/building-team-culture/SKILL.md
Hiring & Teams,Designing Team Rituals,team-rituals,https://refoundai.com/lenny-skills/s/team-rituals,https://refoundai.com/skills/team-rituals/SKILL.md
